
Proving the program took 0.70 seconds

Proving the program took 0.70 seconds
Epoch	Batch	Loss		Valid acc	Test acc	
    0	    0	4.31990		0.0	0.05	
    0	  100	3.89622		0.03333333333333333	0.045	
    0	  200	3.77654		0.07777777777777778	0.13	
    0	  300	3.51244		0.17777777777777778	0.14	
    0	  400	3.31168		0.4666666666666667	0.48	
    1	  500	2.88259		0.5666666666666667	0.57	
    1	  600	2.82156		0.7111111111111111	0.67	
    1	  700	2.70631		0.7333333333333333	0.685	
    1	  800	2.58054		0.7	0.685	
    2	  900	2.49391		0.8444444444444444	0.76	
    2	 1000	2.36860		0.9	0.75	
    2	 1100	2.30023		0.8777777777777778	0.75	
    2	 1200	2.36680		0.8222222222222222	0.75	
    2	 1300	2.35591		0.9222222222222223	0.785	

Proving the program took 0.72 seconds
Epoch	Batch	Loss		Valid acc	Test acc	
    0	    0	4.32713		0.0	0.05	
    0	  100	3.88745		0.0	0.05	
    0	  200	3.77945		0.08888888888888889	0.135	
    0	  300	3.55486		0.1111111111111111	0.17	
    0	  400	3.22432		0.4222222222222222	0.395	
    1	  500	3.02024		0.6777777777777778	0.62	
    1	  600	2.77144		0.7111111111111111	0.72	
    1	  700	2.75300		0.7333333333333333	0.695	
    1	  800	2.65983		0.7222222222222222	0.695	
    2	  900	2.53895		0.8	0.7	
    2	 1000	2.40052		0.8111111111111111	0.765	
    2	 1100	2.43603		0.8777777777777778	0.755	
    2	 1200	2.41108		0.9	0.795	

Proving the program took 0.71 seconds

Proving the program took 0.74 seconds
Epoch	Batch	Loss		Valid acc	Test acc	
    0	    0	4.33393		0.0	0.0	
    0	  100	3.84706		0.022222222222222223	0.05	
    0	  200	3.69372		0.23333333333333334	0.17	
    0	  300	3.37895		0.37777777777777777	0.405	
    0	  400	3.09438		0.5111111111111111	0.53	
    1	  500	2.74655		0.7555555555555555	0.665	
    1	  600	2.72400		0.6777777777777778	0.665	
    1	  700	2.64321		0.7888888888888889	0.725	
    1	  800	2.51242		0.7888888888888889	0.7	

Proving the program took 0.70 seconds
Epoch	Batch	Loss		Valid acc	Test acc	
    0	    0	4.32259		0.0	0.05	
    0	  100	3.86491		0.011111111111111112	0.07	
    0	  200	3.73675		0.16666666666666666	0.195	
    0	  300	3.45860		0.23333333333333334	0.32	
    0	  400	3.21128		0.37777777777777777	0.44	
    1	  500	3.04727		0.5666666666666667	0.55	
    1	  600	2.73946		0.7333333333333333	0.65	
    1	  700	2.76188		0.7333333333333333	0.7	
    1	  800	2.55522		0.8111111111111111	0.675	
    2	  900	2.59426		0.8666666666666667	0.735	
    2	 1000	2.39833		0.8555555555555555	0.735	
    2	 1100	2.37476		0.8777777777777778	0.765	
    2	 1200	2.36181		0.8222222222222222	0.765	
    2	 1300	2.38714		0.8666666666666667	0.765	
    3	 1400	2.27001		0.9333333333333333	0.8	
    3	 1500	2.20458		0.8777777777777778	0.8	
    3	 1600	2.28331		0.8777777777777778	0.8	
    3	 1700	2.28692		0.9	0.8	
    4	 1800	2.43421		0.9	0.8	
    4	 1900	2.10562		0.9666666666666667	0.8	
    4	 2000	2.10890		0.9444444444444444	0.8	
    4	 2100	2.17687		0.9333333333333333	0.8	
    4	 2200	2.11885		0.9222222222222223	0.8	
    5	 2300	2.11740		0.9444444444444444	0.8	
    5	 2400	2.13150		0.9444444444444444	0.8	
    5	 2500	2.21517		0.9777777777777777	0.82	
    5	 2600	2.25948		0.9666666666666667	0.82	
    6	 2700	2.14867		0.9555555555555556	0.82	
    6	 2800	2.01561		0.9666666666666667	0.82	
    6	 2900	2.08414		1.0	0.805	
    6	 3000	2.18559		0.9888888888888889	0.805	
    6	 3100	2.06773		1.0	0.835	
    7	 3200	2.03465		1.0	0.835	
    7	 3300	2.14544		0.9444444444444444	0.835	
    7	 3400	2.21374		0.9777777777777777	0.835	
    7	 3500	2.15228		0.9777777777777777	0.835	
    8	 3600	2.11569		0.9888888888888889	0.835	
    8	 3700	2.08169		1.0	0.815	
    8	 3800	2.00453		0.9888888888888889	0.815	
    8	 3900	1.97615		0.9555555555555556	0.815	
    8	 4000	2.15517		0.9666666666666667	0.815	
    9	 4100	2.16112		0.9777777777777777	0.815	
    9	 4200	2.10596		1.0	0.81	
    9	 4300	2.01542		0.9888888888888889	0.81	
    9	 4400	1.99964		1.0	0.79	
   10	 4500	2.03737		1.0	0.82	
   10	 4600	2.03585		0.9888888888888889	0.82	
   10	 4700	2.05099		0.9666666666666667	0.82	
   10	 4800	2.21903		0.9444444444444444	0.82	
   10	 4900	2.03376		0.9888888888888889	0.82	
   11	 5000	2.11663		0.9888888888888889	0.82	
   11	 5100	2.03710		1.0	0.815	
   11	 5200	2.15907		0.9777777777777777	0.815	
   11	 5300	2.06026		1.0	0.76	
   12	 5400	2.05310		0.9888888888888889	0.76	
   12	 5500	2.05381		0.9777777777777777	0.76	
   12	 5600	2.00980		1.0	0.805	
   12	 5700	2.08178		0.9888888888888889	0.805	
   12	 5800	2.12451		0.9777777777777777	0.805	
   13	 5900	2.16462		0.9777777777777777	0.805	
   13	 6000	2.03498		0.9666666666666667	0.805	
   13	 6100	2.08146		1.0	0.85	
   13	 6200	2.02196		0.9666666666666667	0.85	
   14	 6300	2.03763		0.9888888888888889	0.85	
   14	 6400	1.97266		0.9777777777777777	0.85	
   14	 6500	2.04613		0.9888888888888889	0.85	
   14	 6600	2.01885		1.0	0.775	
   14	 6700	2.17077		1.0	0.825	

Proving the program took 0.80 seconds
Epoch	Batch	Loss		Valid acc	Test acc	
    0	    0	4.31386		0.0	0.05	
    0	  100	3.86101		0.0	0.03	
    0	  200	3.75488		0.05555555555555555	0.1	
    0	  300	3.52136		0.24444444444444444	0.215	
    0	  400	3.28470		0.4777777777777778	0.465	
    1	  500	3.04793		0.6222222222222222	0.59	
    1	  600	2.84245		0.6666666666666666	0.555	
    1	  700	2.88649		0.7	0.67	
    1	  800	2.65655		0.7333333333333333	0.66	
    2	  900	2.60136		0.7555555555555555	0.595	
    2	 1000	2.56594		0.8555555555555555	0.68	
    2	 1100	2.45951		0.8555555555555555	0.72	
    2	 1200	2.36864		0.8777777777777778	0.745	
    2	 1300	2.49082		0.8777777777777778	0.805	
    3	 1400	2.26448		0.8555555555555555	0.805	
    3	 1500	2.20204		0.8333333333333334	0.805	
    3	 1600	2.38804		0.9333333333333333	0.745	
    3	 1700	2.35544		0.8888888888888888	0.745	
    4	 1800	2.38948		0.9333333333333333	0.805	
    4	 1900	2.13600		0.9333333333333333	0.77	
    4	 2000	2.21190		0.9555555555555556	0.775	
    4	 2100	2.22298		0.9444444444444444	0.775	
    4	 2200	2.19091		0.9888888888888889	0.81	
    5	 2300	2.18270		0.9444444444444444	0.81	
    5	 2400	2.18842		0.9555555555555556	0.81	
    5	 2500	2.15557		0.9333333333333333	0.81	
    5	 2600	2.10969		0.9777777777777777	0.81	
    6	 2700	2.14965		0.9555555555555556	0.81	
    6	 2800	2.11163		0.9333333333333333	0.81	
    6	 2900	2.13593		0.9333333333333333	0.81	
    6	 3000	2.23393		0.9333333333333333	0.81	
    6	 3100	2.11748		0.9666666666666667	0.81	
    7	 3200	2.12655		0.9666666666666667	0.81	
    7	 3300	2.13691		0.9555555555555556	0.81	
    7	 3400	2.09477		0.9666666666666667	0.81	
    7	 3500	2.11362		0.9666666666666667	0.81	
    8	 3600	2.15327		0.9777777777777777	0.81	
    8	 3700	2.00957		1.0	0.795	
    8	 3800	2.04896		0.9888888888888889	0.795	
    8	 3900	2.11063		0.9444444444444444	0.795	
    8	 4000	2.18137		0.9777777777777777	0.795	
    9	 4100	2.08587		1.0	0.825	
    9	 4200	2.09289		1.0	0.8	
    9	 4300	2.13537		0.9888888888888889	0.8	
    9	 4400	2.05902		0.9777777777777777	0.8	
   10	 4500	2.02827		0.9888888888888889	0.8	
   10	 4600	1.99731		0.9888888888888889	0.8	
   10	 4700	2.00253		1.0	0.815	
   10	 4800	2.06877		0.9888888888888889	0.815	
   10	 4900	2.04368		0.9888888888888889	0.815	
   11	 5000	2.11101		1.0	0.82	
   11	 5100	2.02861		1.0	0.83	
   11	 5200	2.04232		1.0	0.835	
   11	 5300	2.07492		1.0	0.795	
   12	 5400	2.26649		0.9666666666666667	0.795	
   12	 5500	2.03773		0.9777777777777777	0.795	
   12	 5600	2.02151		0.9777777777777777	0.795	
   12	 5700	2.14391		0.9777777777777777	0.795	
   12	 5800	2.06311		1.0	0.785	
   13	 5900	2.18003		0.9777777777777777	0.785	
   13	 6000	2.04754		0.9888888888888889	0.785	
   13	 6100	2.07307		0.9888888888888889	0.785	
   13	 6200	2.02678		1.0	0.82	
   14	 6300	2.09681		0.9888888888888889	0.82	
   14	 6400	2.14461		0.9888888888888889	0.82	
   14	 6500	2.13091		0.9444444444444444	0.82	
   14	 6600	1.98535		1.0	0.81	
   14	 6700	2.14577		0.9111111111111111	0.81	
   15	 6800	2.15437		0.9777777777777777	0.81	
   15	 6900	2.09501		1.0	0.835	
   15	 7000	2.01437		0.9888888888888889	0.835	
   15	 7100	2.05348		0.9888888888888889	0.835	
   16	 7200	2.05931		0.9777777777777777	0.835	
   16	 7300	2.10468		0.9888888888888889	0.835	
   16	 7400	1.98716		0.9888888888888889	0.835	
   16	 7500	1.98379		0.9888888888888889	0.835	
   16	 7600	2.21675		0.9888888888888889	0.835	
   17	 7700	2.15659		0.9777777777777777	0.835	
   17	 7800	2.10152		0.9666666666666667	0.835	
   17	 7900	2.10640		1.0	0.845	
   17	 8000	1.98793		1.0	0.85	
   18	 8100	2.12899		0.9888888888888889	0.85	
   18	 8200	2.10874		1.0	0.845	
   18	 8300	2.04637		0.9888888888888889	0.845	
   18	 8400	2.15364		0.9777777777777777	0.845	
   18	 8500	2.12952		0.9888888888888889	0.845	
   19	 8600	2.22560		0.9444444444444444	0.845	
   19	 8700	2.05573		0.9666666666666667	0.845	
   19	 8800	2.06726		0.9555555555555556	0.845	
   19	 8900	2.10890		0.9888888888888889	0.845	
   19	 8999	1.97256		0.9888888888888889	0.845	

Training 20 epoch (totalling 9000 batches of size 2) took 254.23 seconds
Best val accuracy:1.0
Test accuracy:0.845

Proving the program took 0.73 seconds
Epoch	Batch	Loss		Valid acc	Test acc	
    0	    0	4.31059		0.0	0.05	
    0	  100	3.88851		0.0	0.01	
    0	  200	3.76435		0.05555555555555555	0.07	
    0	  300	3.52694		0.24444444444444444	0.29	
    0	  400	3.24553		0.5222222222222223	0.525	
    1	  500	3.00894		0.6111111111111112	0.54	
    1	  600	2.80154		0.7111111111111111	0.59	
    1	  700	2.76654		0.6777777777777778	0.59	
    1	  800	2.68940		0.8444444444444444	0.72	
    2	  900	2.61722		0.8222222222222222	0.72	
    2	 1000	2.44643		0.8444444444444444	0.7	
    2	 1100	2.36575		0.8	0.7	
    2	 1200	2.44619		0.8333333333333334	0.7	
    2	 1300	2.47071		0.8444444444444444	0.76	
    3	 1400	2.33307		0.9	0.785	
    3	 1500	2.26833		0.8888888888888888	0.785	
    3	 1600	2.33922		0.9444444444444444	0.82	
    3	 1700	2.33950		0.9555555555555556	0.79	
    4	 1800	2.32820		0.9333333333333333	0.79	
    4	 1900	2.10993		0.9555555555555556	0.79	
    4	 2000	2.20913		0.9444444444444444	0.79	
    4	 2100	2.23116		0.9444444444444444	0.79	
    4	 2200	2.25856		0.9888888888888889	0.805	
    5	 2300	2.20789		0.9777777777777777	0.805	
    5	 2400	2.10709		1.0	0.835	
    5	 2500	2.11215		1.0	0.81	
    5	 2600	2.12791		1.0	0.79	
    6	 2700	2.10953		0.9888888888888889	0.79	
    6	 2800	2.12586		1.0	0.81	
    6	 2900	2.12360		0.9777777777777777	0.81	
    6	 3000	2.18981		0.9777777777777777	0.81	
    6	 3100	2.19083		0.9888888888888889	0.81	
    7	 3200	2.16202		0.9666666666666667	0.81	
    7	 3300	2.20837		0.9444444444444444	0.81	
    7	 3400	2.08877		0.9444444444444444	0.81	
    7	 3500	2.17689		0.9666666666666667	0.81	
    8	 3600	2.22934		0.9888888888888889	0.81	
    8	 3700	2.04667		1.0	0.825	
    8	 3800	2.01467		0.9888888888888889	0.825	
    8	 3900	2.04275		0.9888888888888889	0.825	
    8	 4000	2.16602		0.9888888888888889	0.825	
    9	 4100	2.12584		1.0	0.855	
    9	 4200	2.06345		0.9888888888888889	0.855	
    9	 4300	2.05237		1.0	0.785	
    9	 4400	2.12137		1.0	0.81	
    9	 4499	2.04093		1.0	0.835	

Training 10 epoch (totalling 4500 batches of size 2) took 138.80 seconds
Best val accuracy:1.0
Test accuracy:0.835

Proving the program took 0.74 seconds
Epoch	Batch	Loss		Valid acc	Test acc	
    0	    0	0.49781		0.0	0.05	
    1	  100	0.41700		0.7333333333333333	0.65	

Proving the program took 0.77 seconds
Epoch	Batch	Loss		Valid acc	Test acc	

Proving the program took 0.72 seconds
Epoch	Batch	Loss		Valid acc	Test acc	
    0	    0	0.49774		0.011111111111111112	0.015	
    1	  100	0.48222		0.0	0.015	
    3	  200	0.45728		0.18888888888888888	0.23	
    5	  300	0.40301		0.4666666666666667	0.44	
    7	  400	0.36087		0.6777777777777778	0.525	
    8	  500	0.33398		0.7777777777777778	0.705	
    9	  569	0.33007		0.8	0.68	

Training 10 epoch (totalling 570 batches of size 16) took 29.72 seconds
Best val accuracy:0.8
Test accuracy:0.68

Proving the program took 0.72 seconds
Epoch	Batch	Loss		Valid acc	Test acc	
    0	    0	0.49773		0.03333333333333333	0.015	
    1	  100	0.48279		0.022222222222222223	0.015	
    3	  200	0.46444		0.1111111111111111	0.12	
    5	  300	0.43585		0.17777777777777778	0.17	
    7	  400	0.42385		0.15555555555555556	0.17	
    8	  500	0.40769		0.26666666666666666	0.215	
    9	  569	0.41078		0.2222222222222222	0.215	

Training 10 epoch (totalling 570 batches of size 16) took 28.89 seconds
Best val accuracy:0.26666666666666666
Test accuracy:0.215

Proving the program took 0.74 seconds

Proving the program took 0.74 seconds
Epoch	Batch	Loss		Valid acc	Test acc	
    0	    0	2.07432		0.06666666666666667	0.03	
    0	  100	1.93310		0.03333333333333333	0.03	
    0	  200	1.86437		0.022222222222222223	0.03	
    1	  300	1.80239		0.23333333333333334	0.195	
    1	  400	1.72154		0.35555555555555557	0.32	
    2	  500	1.60450		0.37777777777777777	0.33	
    2	  600	1.53867		0.4111111111111111	0.39	
    3	  700	1.49565		0.6888888888888889	0.59	
    3	  800	1.39854		0.7777777777777778	0.67	
    4	  900	1.37323		0.7111111111111111	0.67	
    4	 1000	1.35564		0.6555555555555556	0.67	

Proving the program took 0.76 seconds
Epoch	Batch	Loss		Valid acc	Test acc	
    0	    0	2.07433		0.05555555555555555	0.04	
    0	  100	1.93132		0.011111111111111112	0.04	
    0	  200	1.87667		0.022222222222222223	0.04	
    1	  300	1.83244		0.07777777777777778	0.055	
    1	  400	1.80123		0.1111111111111111	0.12	
    2	  500	1.72861		0.1	0.12	
    2	  600	1.69747		0.1	0.12	
    3	  700	1.68819		0.2222222222222222	0.235	
    3	  800	1.63191		0.26666666666666666	0.285	
    4	  900	1.62245		0.36666666666666664	0.335	
    4	 1000	1.53726		0.35555555555555557	0.335	
    4	 1100	1.54235		0.4222222222222222	0.42	
    5	 1200	1.50226		0.36666666666666664	0.42	
    5	 1300	1.43403		0.5222222222222223	0.495	
    6	 1400	1.43170		0.5666666666666667	0.505	
    6	 1500	1.42960		0.5444444444444444	0.505	
    7	 1600	1.38492		0.6333333333333333	0.56	
    7	 1700	1.34649		0.6777777777777778	0.55	
    8	 1800	1.37083		0.7	0.55	
    8	 1900	1.34161		0.6666666666666666	0.55	
    8	 2000	1.33103		0.7222222222222222	0.6	
    9	 2100	1.30468		0.7777777777777778	0.555	
    9	 2200	1.28563		0.7777777777777778	0.61	
    9	 2249	1.26162		0.7444444444444445	0.61	

Training 10 epoch (totalling 2250 batches of size 4) took 104.46 seconds
Best val accuracy:0.7777777777777778
Test accuracy:0.61

Proving the program took 0.71 seconds
Epoch	Batch	Loss		Valid acc	Test acc	
    0	    0	2.07548		0.011111111111111112	0.04	
    0	  100	1.94931		0.03333333333333333	0.015	
    0	  200	1.89814		0.03333333333333333	0.015	
    1	  300	1.85421		0.03333333333333333	0.045	
    1	  400	1.81397		0.03333333333333333	0.08	
    2	  500	1.75685		0.05555555555555555	0.095	
    2	  600	1.72648		0.13333333333333333	0.22	
    3	  700	1.72046		0.17777777777777778	0.2	
    3	  800	1.65633		0.18888888888888888	0.255	
    4	  900	1.63381		0.23333333333333334	0.24	
    4	 1000	1.60004		0.2777777777777778	0.295	
    4	 1100	1.60260		0.34444444444444444	0.295	
    5	 1200	1.58852		0.3333333333333333	0.295	
    5	 1300	1.54715		0.37777777777777777	0.335	
    6	 1400	1.54348		0.4444444444444444	0.315	
    6	 1500	1.52103		0.43333333333333335	0.315	
    7	 1600	1.49765		0.4666666666666667	0.39	
    7	 1700	1.47045		0.5444444444444444	0.44	
    8	 1800	1.48863		0.5555555555555556	0.49	
    8	 1900	1.44012		0.5222222222222223	0.49	
    8	 2000	1.44239		0.5333333333333333	0.49	
