
Proving the program took 0.94 seconds
Epoch	Batch	Loss		Valid acc	Test acc	
    0	    0	2.02786		0.011111111111111112	0.05	
    0	  100	1.98331		0.044444444444444446	0.015	
    0	  200	1.92570		0.011111111111111112	0.015	
    1	  300	1.90502		0.011111111111111112	0.015	
    1	  400	1.90567		0.022222222222222223	0.015	
    2	  500	1.85946		0.06666666666666667	0.055	
    2	  600	1.84610		0.011111111111111112	0.055	
    3	  700	1.82133		0.12222222222222222	0.085	
    3	  800	1.77640		0.12222222222222222	0.115	
